timestamp,nav_usd,cash_usd,n_positions,invested_pct,regime,drawdown,max_drawdown,n_trades
2026-03-01 00:00:00+00:00,100000.0,100000.0,0,0.0,BEAR,0.0,0.0,0
2026-03-01 02:00:00+00:00,100000.0,100000.0,0,0.0,BEAR,0.0,0.0,0
2026-03-01 04:00:00+00:00,100000.0,100000.0,0,0.0,BEAR,0.0,0.0,0
2026-03-01 06:00:00+00:00,100000.0,90826.87641893182,1,0.09173123581068188,NEUTRAL,0.0,0.0,1
2026-03-01 08:00:00+00:00,99911.97897105577,77471.43908721484,3,0.22460309679524915,BULL,0.002399402216102191,0.002399402216102191,2
2026-03-01 10:00:00+00:00,99766.84401698053,68184.55053818366,3,0.31656101573606454,BULL,0.0038485449358830093,0.0038485449358830093,1
2026-03-01 12:00:00+00:00,99543.8330146085,68184.55053818366,3,0.31502988710333,BULL,0.006075264009710614,0.006075264009710614,0
2026-03-01 14:00:00+00:00,99880.64771736228,68184.55053818366,3,0.3173397239960919,BULL,0.0027122383518271387,0.006075264009710614,0
2026-03-01 16:00:00+00:00,99665.20100422672,63809.939003728054,4,0.35975708310645027,BULL,0.004863429550600995,0.006075264009710614,2
2026-03-01 18:00:00+00:00,99655.17852124061,63809.939003728054,4,0.35969269283755745,NEUTRAL,0.004963501985570175,0.0070969500535257345,0
2026-03-01 20:00:00+00:00,98787.3629219845,73740.0151493525,3,0.25354809594839245,BEAR,0.013628462578882868,0.013628462578882868,1
2026-03-01 22:00:00+00:00,98984.08451246709,73740.0151493525,3,0.2550315991449623,BEAR,0.01166423788547268,0.013628462578882868,0
2026-03-02 00:00:00+00:00,99461.70048537289,73740.0151493525,3,0.2586089440508117,BEAR,0.006895340452062877,0.013628462578882868,0
2026-03-02 02:00:00+00:00,99601.35806636838,73740.0151493525,3,0.2596484969590819,BEAR,0.00550088817796148,0.013628462578882868,0
2026-03-02 04:00:00+00:00,99764.76018022528,73740.0151493525,3,0.260861099489028,BEAR,0.003869351618065967,0.013628462578882868,0
2026-03-02 06:00:00+00:00,99833.76304096036,73740.0151493525,3,0.2613719757403311,NEUTRAL,0.0031803722201295087,0.013628462578882868,0
2026-03-02 08:00:00+00:00,99631.39164323373,73740.0151493525,3,0.25987167364473507,NEUTRAL,0.005201009078948365,0.013628462578882868,0
2026-03-02 10:00:00+00:00,99694.81688565492,80215.86578410065,3,0.19538579547114943,NEUTRAL,0.004567721054773646,0.013628462578882868,1
