timestamp,open,high,low,close,volume,quote_volume,pair,binance_symbol,interval,source
2024-01-01 00:00:00+00:00,108.68,110.63,108.51,110.42,7505.743,824302.73192,AAVE/USD,AAVEUSDT,1h,binance
2024-01-01 01:00:00+00:00,110.44,111.63,110.06,111.45,4681.48,520026.07306,AAVE/USD,AAVEUSDT,1h,binance
2024-01-01 02:00:00+00:00,111.44,111.47,110.04,110.32,3905.827,432675.40473,AAVE/USD,AAVEUSDT,1h,binance
2024-01-01 03:00:00+00:00,110.31,110.35,108.53,108.73,5228.551,571983.83575,AAVE/USD,AAVEUSDT,1h,binance
2024-01-01 04:00:00+00:00,108.7,109.54,107.7,108.77,6170.25,669315.89124,AAVE/USD,AAVEUSDT,1h,binance
2024-01-01 05:00:00+00:00,108.77,109.42,107.82,108.48,4040.369,438307.51091,AAVE/USD,AAVEUSDT,1h,binance
2024-01-01 06:00:00+00:00,108.47,109.42,108.39,109.05,2458.214,267806.32253,AAVE/USD,AAVEUSDT,1h,binance
2024-01-01 07:00:00+00:00,109.07,109.7,109.06,109.62,1689.875,184781.71808,AAVE/USD,AAVEUSDT,1h,binance
2024-01-01 08:00:00+00:00,109.6,110.3,109.26,109.82,5021.756,551315.25968,AAVE/USD,AAVEUSDT,1h,binance
2024-01-01 09:00:00+00:00,109.79,110.24,109.56,109.98,3433.722,377132.73908,AAVE/USD,AAVEUSDT,1h,binance
2024-01-01 10:00:00+00:00,109.99,110.36,109.86,110.27,3725.171,410263.87415,AAVE/USD,AAVEUSDT,1h,binance
2024-01-01 11:00:00+00:00,110.28,110.67,109.92,110.67,3113.742,343493.46128,AAVE/USD,AAVEUSDT,1h,binance
2024-01-01 12:00:00+00:00,110.64,111.56,110.28,111.23,3733.135,414454.98236,AAVE/USD,AAVEUSDT,1h,binance
2024-01-01 13:00:00+00:00,111.24,111.73,110.77,111.15,4268.054,474555.29942,AAVE/USD,AAVEUSDT,1h,binance
2024-01-01 14:00:00+00:00,111.2,111.58,110.47,110.47,5684.48,630630.81589,AAVE/USD,AAVEUSDT,1h,binance
2024-01-01 15:00:00+00:00,110.54,112.97,109.86,112.46,17048.208,1897741.70258,AAVE/USD,AAVEUSDT,1h,binance
2024-01-01 16:00:00+00:00,112.48,113.28,111.93,112.43,8563.085,963643.14155,AAVE/USD,AAVEUSDT,1h,binance
2024-01-01 17:00:00+00:00,112.42,112.91,111.82,112.66,3047.613,342435.99845,AAVE/USD,AAVEUSDT,1h,binance
2024-01-01 18:00:00+00:00,112.66,113.97,112.66,113.57,8748.041,992541.35581,AAVE/USD,AAVEUSDT,1h,binance
2024-01-01 19:00:00+00:00,113.56,114.4,113.29,113.83,3738.696,425829.72303,AAVE/USD,AAVEUSDT,1h,binance
2024-01-01 20:00:00+00:00,113.91,114.63,113.34,114.12,11809.865,1345535.56479,AAVE/USD,AAVEUSDT,1h,binance
2024-01-01 21:00:00+00:00,114.18,114.31,113.07,113.91,8427.159,957078.94404,AAVE/USD,AAVEUSDT,1h,binance
2024-01-01 22:00:00+00:00,113.94,114.95,113.4,114.5,7256.374,829832.48744,AAVE/USD,AAVEUSDT,1h,binance
2024-01-01 23:00:00+00:00,114.5,116.65,114.49,116.17,11063.537,1278409.91261,AAVE/USD,AAVEUSDT,1h,binance
2024-01-02 00:00:00+00:00,116.18,118.56,115.52,118.01,21126.952,2467268.37797,AAVE/USD,AAVEUSDT,1h,binance
2024-01-02 01:00:00+00:00,118.07,119.9,117.94,119.3,22065.724,2625586.60417,AAVE/USD,AAVEUSDT,1h,binance
2024-01-02 02:00:00+00:00,119.35,120.0,118.27,119.36,19034.305,2267131.13969,AAVE/USD,AAVEUSDT,1h,binance
2024-01-02 03:00:00+00:00,119.37,119.51,117.42,118.02,11791.92,1392303.55951,AAVE/USD,AAVEUSDT,1h,binance
2024-01-02 04:00:00+00:00,118.02,119.3,116.82,117.54,18904.762,2229487.83448,AAVE/USD,AAVEUSDT,1h,binance
2024-01-02 05:00:00+00:00,117.54,117.75,116.12,116.15,5261.052,615281.24624,AAVE/USD,AAVEUSDT,1h,binance
2024-01-02 06:00:00+00:00,116.14,116.95,115.81,116.06,4501.671,523757.02045,AAVE/USD,AAVEUSDT,1h,binance
2024-01-02 07:00:00+00:00,116.03,116.51,115.67,115.99,4720.68,547717.58785,AAVE/USD,AAVEUSDT,1h,binance
2024-01-02 08:00:00+00:00,115.97,119.0,115.79,117.97,15775.987,1854700.44655,AAVE/USD,AAVEUSDT,1h,binance
2024-01-02 09:00:00+00:00,117.99,118.37,117.26,117.72,3834.377,451270.49561,AAVE/USD,AAVEUSDT,1h,binance
2024-01-02 10:00:00+00:00,117.71,117.72,116.27,116.68,4421.593,517062.5857,AAVE/USD,AAVEUSDT,1h,binance
2024-01-02 11:00:00+00:00,116.66,116.87,115.25,116.03,4745.959,550699.12212,AAVE/USD,AAVEUSDT,1h,binance
2024-01-02 12:00:00+00:00,116.1,116.63,115.14,115.25,5650.501,655393.73112,AAVE/USD,AAVEUSDT,1h,binance
2024-01-02 13:00:00+00:00,115.25,115.61,115.0,115.22,4732.843,545664.68292,AAVE/USD,AAVEUSDT,1h,binance
2024-01-02 14:00:00+00:00,115.22,115.5,111.9,112.51,15194.232,1720699.46667,AAVE/USD,AAVEUSDT,1h,binance
2024-01-02 15:00:00+00:00,112.52,113.4,111.5,112.61,9686.146,1090677.80552,AAVE/USD,AAVEUSDT,1h,binance
2024-01-02 16:00:00+00:00,112.64,113.31,111.46,112.98,15226.362,1707310.97333,AAVE/USD,AAVEUSDT,1h,binance
2024-01-02 17:00:00+00:00,112.97,112.97,110.77,111.88,10929.161,1220669.68333,AAVE/USD,AAVEUSDT,1h,binance
2024-01-02 18:00:00+00:00,111.91,112.43,111.45,111.6,7022.966,786843.22862,AAVE/USD,AAVEUSDT,1h,binance
2024-01-02 19:00:00+00:00,111.61,112.21,110.93,111.64,6570.255,733107.4194,AAVE/USD,AAVEUSDT,1h,binance
2024-01-02 20:00:00+00:00,111.58,112.58,110.72,110.81,6588.522,735587.19392,AAVE/USD,AAVEUSDT,1h,binance
2024-01-02 21:00:00+00:00,110.86,111.06,108.57,109.79,16548.79,1817867.17645,AAVE/USD,AAVEUSDT,1h,binance
2024-01-02 22:00:00+00:00,109.76,110.6,109.17,110.08,6175.448,678187.70369,AAVE/USD,AAVEUSDT,1h,binance
2024-01-02 23:00:00+00:00,110.06,110.66,109.59,110.28,5330.942,587668.16324,AAVE/USD,AAVEUSDT,1h,binance
2024-01-03 00:00:00+00:00,110.29,111.7,110.16,110.8,12884.451,1431252.46443,AAVE/USD,AAVEUSDT,1h,binance
2024-01-03 01:00:00+00:00,110.8,111.13,110.38,110.96,6168.383,683556.60342,AAVE/USD,AAVEUSDT,1h,binance
2024-01-03 02:00:00+00:00,110.99,111.17,110.22,110.75,6472.658,717187.41175,AAVE/USD,AAVEUSDT,1h,binance
2024-01-03 03:00:00+00:00,110.75,111.15,109.69,110.55,8278.528,914604.86,AAVE/USD,AAVEUSDT,1h,binance
