timestamp,open,high,low,close,volume,quote_volume,pair,binance_symbol,interval,source
2024-12-17 14:00:00+00:00,0.003375,0.07,0.003375,0.043151,4639254526.0,235629970.790426,PENGU/USD,PENGUUSDT,1h,binance
2024-12-17 15:00:00+00:00,0.043151,0.043376,0.035332,0.036703,1698306296.0,65938356.073038,PENGU/USD,PENGUUSDT,1h,binance
2024-12-17 16:00:00+00:00,0.036731,0.03965,0.03138,0.032593,1481298437.0,53087845.646769,PENGU/USD,PENGUUSDT,1h,binance
2024-12-17 17:00:00+00:00,0.032594,0.033084,0.028648,0.031083,1442473696.0,44152757.927322,PENGU/USD,PENGUUSDT,1h,binance
2024-12-17 18:00:00+00:00,0.03108,0.035338,0.029851,0.034446,1019570693.0,33396993.177849,PENGU/USD,PENGUUSDT,1h,binance
2024-12-17 19:00:00+00:00,0.034412,0.035432,0.031345,0.03181,609532594.0,20152531.367439,PENGU/USD,PENGUUSDT,1h,binance
2024-12-17 20:00:00+00:00,0.031806,0.031948,0.030412,0.031,447957798.0,13978453.816466,PENGU/USD,PENGUUSDT,1h,binance
2024-12-17 21:00:00+00:00,0.031,0.03125,0.028364,0.029731,507639416.0,14967566.496743,PENGU/USD,PENGUUSDT,1h,binance
2024-12-17 22:00:00+00:00,0.029731,0.030988,0.026656,0.027683,681318687.0,19501994.049594,PENGU/USD,PENGUUSDT,1h,binance
2024-12-17 23:00:00+00:00,0.027679,0.028999,0.026953,0.02865,350385072.0,9752935.059943,PENGU/USD,PENGUUSDT,1h,binance
2024-12-18 00:00:00+00:00,0.02865,0.0306,0.02689,0.027137,429906130.0,12336724.175453,PENGU/USD,PENGUUSDT,1h,binance
2024-12-18 01:00:00+00:00,0.027133,0.027804,0.0262,0.02705,372494311.0,10147236.653036,PENGU/USD,PENGUUSDT,1h,binance
2024-12-18 02:00:00+00:00,0.02705,0.0324,0.026625,0.031059,1164619581.0,35075340.1646,PENGU/USD,PENGUUSDT,1h,binance
2024-12-18 03:00:00+00:00,0.031051,0.032589,0.030277,0.031025,634674587.0,19867719.731609,PENGU/USD,PENGUUSDT,1h,binance
2024-12-18 04:00:00+00:00,0.031027,0.031938,0.029307,0.030471,492418185.0,15054294.614331,PENGU/USD,PENGUUSDT,1h,binance
2024-12-18 05:00:00+00:00,0.030472,0.031294,0.029715,0.030156,362087383.0,11034212.299604,PENGU/USD,PENGUUSDT,1h,binance
2024-12-18 06:00:00+00:00,0.030154,0.030349,0.028155,0.029047,382054346.0,11149829.283627,PENGU/USD,PENGUUSDT,1h,binance
2024-12-18 07:00:00+00:00,0.029036,0.030888,0.028844,0.030495,429307541.0,12881518.106357,PENGU/USD,PENGUUSDT,1h,binance
2024-12-18 08:00:00+00:00,0.0305,0.03389,0.03011,0.033025,882577516.0,28474647.402447,PENGU/USD,PENGUUSDT,1h,binance
2024-12-18 09:00:00+00:00,0.033013,0.0344,0.032482,0.033309,558401141.0,18666017.462571,PENGU/USD,PENGUUSDT,1h,binance
2024-12-18 10:00:00+00:00,0.033293,0.035,0.0326,0.033903,678416955.0,23104607.818093,PENGU/USD,PENGUUSDT,1h,binance
2024-12-18 11:00:00+00:00,0.033911,0.038455,0.033606,0.033838,1120105809.0,40295808.950455,PENGU/USD,PENGUUSDT,1h,binance
2024-12-18 12:00:00+00:00,0.033837,0.034841,0.033219,0.033532,454379178.0,15466245.973253,PENGU/USD,PENGUUSDT,1h,binance
2024-12-18 13:00:00+00:00,0.033532,0.033659,0.031117,0.032441,602231838.0,19515448.104197,PENGU/USD,PENGUUSDT,1h,binance
2024-12-18 14:00:00+00:00,0.032441,0.032988,0.031025,0.031982,395002324.0,12596645.222877,PENGU/USD,PENGUUSDT,1h,binance
2024-12-18 15:00:00+00:00,0.031981,0.03485,0.031757,0.034559,499140873.0,16609784.500807,PENGU/USD,PENGUUSDT,1h,binance
2024-12-18 16:00:00+00:00,0.034558,0.03564,0.033028,0.034532,515157985.0,17802582.545482,PENGU/USD,PENGUUSDT,1h,binance
2024-12-18 17:00:00+00:00,0.034532,0.037,0.033704,0.036432,601584306.0,21337564.650185,PENGU/USD,PENGUUSDT,1h,binance
2024-12-18 18:00:00+00:00,0.036431,0.039477,0.035864,0.038307,1073019013.0,40784966.544313,PENGU/USD,PENGUUSDT,1h,binance
2024-12-18 19:00:00+00:00,0.038304,0.0395,0.036305,0.03648,712516250.0,27089485.455485,PENGU/USD,PENGUUSDT,1h,binance
2024-12-18 20:00:00+00:00,0.036477,0.037587,0.035021,0.035724,875068679.0,31600494.543526,PENGU/USD,PENGUUSDT,1h,binance
2024-12-18 21:00:00+00:00,0.035726,0.037731,0.035298,0.036899,505008239.0,18524753.297972,PENGU/USD,PENGUUSDT,1h,binance
2024-12-18 22:00:00+00:00,0.0369,0.03776,0.035923,0.037168,409247177.0,15026682.261984,PENGU/USD,PENGUUSDT,1h,binance
2024-12-18 23:00:00+00:00,0.037159,0.038151,0.035214,0.035593,437039234.0,16054474.583179,PENGU/USD,PENGUUSDT,1h,binance
2024-12-19 00:00:00+00:00,0.035593,0.036959,0.033298,0.034218,539187915.0,18953536.687033,PENGU/USD,PENGUUSDT,1h,binance
2024-12-19 01:00:00+00:00,0.034218,0.03466,0.0321,0.033014,477678894.0,15941006.032903,PENGU/USD,PENGUUSDT,1h,binance
2024-12-19 02:00:00+00:00,0.033024,0.034691,0.031,0.033897,549112420.0,17857075.359122,PENGU/USD,PENGUUSDT,1h,binance
2024-12-19 03:00:00+00:00,0.033911,0.034892,0.03306,0.033745,351020124.0,11859360.673851,PENGU/USD,PENGUUSDT,1h,binance
